Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,NASDAQ Symbol,NextShares,Financial Status Clean,CQS Symbol Clean
Y,A,"Agilent Technologies, Inc. Common Stock",N, ,N,100.0,N,A,N,Non-NASDAQ,A
Y,AA,Alcoa Corporation Common Stock ,N, ,N,100.0,N,AA,N,Non-NASDAQ,AA
Y,AAAU,Perth Mint Physical Gold ETF,P, ,Y,100.0,N,AAAU,N,Non-NASDAQ,AAAU
Y,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,G,N,100.0,N,AACG,N,NASDAQ - Normal,Not Reported
Y,AADR,AdvisorShares Dorsey Wright ADR ETF,P, ,Y,100.0,N,AADR,N,Non-NASDAQ,AADR
Y,AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,100.0,N,AAL,N,NASDAQ - Normal,Not Reported
Y,AAMC,Altisource Asset Management Corp Com,A, ,N,100.0,N,AAMC,N,Non-NASDAQ,AAMC
Y,AAME,Atlantic American Corporation - Common Stock,Q,G,N,100.0,N,AAME,N,NASDAQ - Normal,Not Reported
Y,AAN,"Aaron's, Inc. Common Stock",N, ,N,100.0,N,AAN,N,Non-NASDAQ,AAN
Y,AAOI,"Applied Optoelectronics, Inc. - Common Stock",Q,G,N,100.0,N,AAOI,N,NASDAQ - Normal,Not Reported
Y,AAON,"AAON, Inc. - Common Stock",Q,Q,N,100.0,N,AAON,N,NASDAQ - Normal,Not Reported
Y,AAP,Advance Auto Parts Inc Advance Auto Parts Inc W/I,N, ,N,100.0,N,AAP,N,Non-NASDAQ,AAP
Y,AAPL,Apple Inc. - Common Stock,Q,Q,N,100.0,N,AAPL,N,NASDAQ - Normal,Not Reported
Y,AAT,"American Assets Trust, Inc. Common Stock",N, ,N,100.0,N,AAT,N,Non-NASDAQ,AAT
Y,AAU,"Almaden Minerals, Ltd. Common Shares",A, ,N,100.0,N,AAU,N,Non-NASDAQ,AAU
Y,AAWW,Atlas Air Worldwide Holdings - Common Stock,Q,Q,N,100.0,N,AAWW,N,NASDAQ - Normal,Not Reported
Y,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,Q,G,Y,100.0,N,AAXJ,N,NASDAQ - Normal,Not Reported
